Order_ID,Gender_Category,Product_Line,Product_Name,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,Size_Cat,Size_Cat_Encoded
2000,Kids,Training,SuperRep Go,2,5587.585,0.47,5922.8401,2024-03-09,Online,Bangalore,1132.5731632393522,M,1
2001,Women,Soccer,Tiempo Legend,3,4957.93,0.0,14873.79,2024-07-09,Retail,Hyderabad,2450.3719589295793,M,1
2003,Kids,Lifestyle,Blazer Mid,2,9673.57,0.0,19347.14,2024-04-10,Online,Pune,5408.032312177765,L,2
2004,Kids,Running,React Infinity,2,6346.35,0.0,12692.7,2024-09-12,Retail,Delhi,2147.610908874094,XL,3
2006,Men,Training,SuperRep Go,2,6819.78,0.0,13639.56,2025-04-06,Online,Bangalore,2676.6911034185523,M,1
2008,Women,Soccer,Premier III,2,6082.075,0.0,12164.15,2024-11-10,Online,Hyderabad,2147.4831725546496,L,2
2010,Kids,Lifestyle,Waffle One,1,7949.83,0.0,7949.83,2025-01-16,Online,Pune,1848.9546578253298,L,2
2018,Kids,Lifestyle,Blazer Mid,2,6100.23,0.86,1708.0644,2024-11-13,Online,Delhi,475.3065282555159,L,2
2013,Kids,Training,SuperRep Go,2,9671.05,0.0,19342.1,2024-09-19,Online,Hyderabad,2968.0040470143617,L,2
2014,Women,Running,React Infinity,2,6346.35,0.0,12692.7,2025-04-12,Online,Bangalore,2994.754328647193,L,2
2015,Kids,Basketball,Air Jordan,2,3285.52,0.0,6571.04,2025-05-31,Retail,Kolkata,1807.6948944266092,L,2
2017,Women,Basketball,Air Jordan,4,5967.92,0.0,23871.68,2025-03-17,Retail,Delhi,3713.6764499892765,M,1
2019,Kids,Running,Air Zoom,2,3424.06,0.32,4656.7216,2025-01-17,Online,Hyderabad,1514.7286478793262,S,0
2020,Kids,Soccer,Tiempo Legend,2,6041.3,0.67,3987.258,2025-03-28,Retail,Mumbai,776.1078897813707,L,2
2021,Men,Running,Free RN,2,7086.7,0.66,4818.955999999999,2024-11-19,Retail,Hyderabad,1307.995009717322,L,2
2022,Women,Soccer,Premier III,2,6082.075,0.0,12164.15,2024-09-24,Online,Pune,2937.0911440853647,M,1
2023,Men,Lifestyle,Waffle One,2,5003.95,0.0,10007.9,2025-10-01,Online,Mumbai,2915.470234615808,M,1
2024,Kids,Training,SuperRep Go,2,5587.585,0.5,5587.585,2024-12-28,Retail,Bangalore,1706.719820011119,XL,3
2026,Kids,Lifestyle,Blazer Mid,1,6100.23,0.16,5124.1932,2024-08-10,Retail,Kolkata,1245.0440407718993,XL,3
2029,Men,Training,ZoomX Invincible,2,6424.68,0.0,12849.36,2023-10-28,Online,Bangalore,2734.1827977141984,XL,3
2030,Men,Soccer,Phantom GT,2,6012.23,1.0,0.0,2025-07-14,Retail,Hyderabad,0.0,XL,3
2031,Men,Soccer,Premier III,4,3493.04,0.82,2514.9888000000005,2024-05-09,Online,Delhi,877.0691371366679,L,2
2032,Women,Lifestyle,Blazer Mid,1,6100.23,1.0,0.0,2025-11-04,Retail,Mumbai,0.0,XL,3
2034,Men,Basketball,Air Jordan,2,6235.71,0.0,12471.42,2025-04-30,Retail,Delhi,2625.8089599680166,S,0
2035,Kids,Basketball,Zoom Freak,4,6172.36,0.38,15307.4528,2024-11-17,Online,Bangalore,4198.269650624805,L,2
2036,Men,Training,Metcon 7,3,5829.985000000001,0.0,17489.955,2025-02-15,Retail,Bangalore,3400.151150351004,L,2
2039,Women,Training,Flex Trainer,2,2767.7,0.63,2048.098,2025-04-22,Retail,Hyderabad,595.3356338110065,M,1
2002,Women,Basketball,Zoom Freak,3,5075.22,0.0,15225.66,2025-07-03,Retail,Delhi,3969.708209508534,XL,3
2041,Kids,Soccer,Tiempo Legend,2,5553.88,0.0,11107.76,2025-03-05,Online,Hyderabad,2312.2378602659837,XL,3
2042,Women,Basketball,Kyrie Flytrap,2,5562.46,0.0,11124.92,2025-04-19,Online,Hyderabad,3154.2229939893405,L,2
2043,Men,Soccer,Premier III,2,3492.89,0.77,1606.7293999999997,2024-05-02,Retail,Delhi,411.3832642586327,XL,3
2044,Kids,Training,SuperRep Go,2,5587.585,0.0,11175.17,2023-09-06,Online,Delhi,2172.8099680691357,L,2
2045,Kids,Lifestyle,Dunk Low,4,6091.98,0.0,24367.92,2025-04-06,Retail,Delhi,6744.604326769261,XL,3
2047,Women,Training,SuperRep Go,1,8577.75,0.0,8577.75,2024-06-13,Retail,Bangalore,1913.898813031023,L,2
2048,Women,Basketball,Air Jordan,2,5967.92,0.0,11935.84,2024-10-27,Online,Bangalore,3988.673885222737,XL,3
2051,Women,Basketball,Air Jordan,2,5967.92,0.37,7519.5792,2024-01-05,Retail,Delhi,1519.5550973010993,XL,3
2052,Men,Training,Flex Trainer,3,9155.96,0.0,27467.879999999997,2024-10-08,Retail,Pune,4426.921603161462,L,2
2053,Men,Lifestyle,Air Force 1,3,6009.58,0.0,18028.739999999998,2024-10-02,Online,Delhi,5371.12883219125,XL,3
2054,Women,Training,Flex Trainer,2,6481.055,0.0,12962.11,2025-06-23,Online,Mumbai,3342.610712156772,L,2
2055,Men,Basketball,Kyrie Flytrap,2,5562.46,0.0,11124.92,2024-10-26,Online,Hyderabad,3148.743871674284,L,2
2056,Men,Running,React Infinity,3,6346.35,0.0,19039.050000000003,2024-05-31,Retail,Bangalore,4076.3421135959397,L,2
2048,Men,Lifestyle,Waffle One,3,6216.29,0.94,1118.9322000000009,2024-09-14,Online,Mumbai,354.805583568139,M,1
2059,Kids,Soccer,Phantom GT,2,9507.54,0.0,19015.08,2023-12-27,Retail,Delhi,4297.950689761119,L,2
2060,Men,Lifestyle,Waffle One,2,7979.26,0.0,15958.52,2024-07-11,Online,Bangalore,4968.183243981197,L,2
2061,Women,Basketball,LeBron 20,2,6531.36,0.0,13062.72,2024-10-09,Online,Mumbai,2684.169436572632,L,2
2062,Men,Basketball,Air Jordan,2,5967.92,0.0,11935.84,2025-06-06,Online,Bangalore,2357.3079869269473,L,2
2063,Women,Basketball,Air Jordan,1,9751.0,0.16,8190.84,2024-06-09,Retail,Pune,2053.0540546654775,M,1
2064,Kids,Running,React Infinity,2,7557.71,0.0,15115.42,2025-03-02,Online,Bangalore,2381.2043035770016,L,2
2065,Women,Lifestyle,Waffle One,2,5610.219999999999,0.78,2468.4967999999994,2024-02-11,Retail,Hyderabad,650.5586180006582,L,2
2066,Men,Soccer,Phantom GT,2,5259.05,0.0,10518.1,2024-12-10,Online,Mumbai,2893.7903579334,XL,3
2067,Kids,Basketball,LeBron 20,4,3588.38,0.0,14353.52,2025-06-05,Online,Kolkata,4315.647327624792,L,2
2068,Men,Running,Free RN,4,2553.29,0.0,10213.16,2024-12-05,Retail,Mumbai,2307.2039854740715,L,2
2069,Women,Training,SuperRep Go,2,7502.24,0.0,15004.48,2025-07-14,Online,Pune,3091.1477365866795,L,2
2071,Kids,Lifestyle,Blazer Mid,3,7849.81,0.49,12010.2093,2025-01-12,Retail,Pune,3043.294161467997,M,1
2073,Women,Lifestyle,Blazer Mid,4,6100.23,0.85,3660.1380000000004,2024-03-11,Online,Hyderabad,1042.7851746977933,XL,3
2075,Kids,Basketball,Air Jordan,4,4251.74,0.0,17006.96,2025-07-14,Online,Pune,3324.9599283179887,L,2
2076,Women,Training,ZoomX Invincible,2,6424.68,0.0,12849.36,2024-10-13,Retail,Bangalore,2678.1038135949652,L,2
2077,Men,Training,ZoomX Invincible,2,6424.68,0.0,12849.36,2023-11-21,Online,Pune,2869.1484183264593,L,2
2079,Men,Running,Pegasus Turbo,2,4322.06,0.0,8644.12,2025-01-19,Online,Bangalore,2096.79054734726,XL,3
2080,Men,Lifestyle,Blazer Mid,2,6100.23,0.0,12200.46,2025-03-31,Online,Bangalore,1845.2503829779573,L,2
2028,Men,Running,Free RN,2,6299.575,0.21,9953.3285,2024-02-14,Online,Hyderabad,2000.900612012932,L,2
2083,Men,Running,Free RN,2,9291.74,0.0,18583.48,2024-10-14,Retail,Delhi,5240.172762061511,L,2
2084,Men,Training,Metcon 7,2,5829.985000000001,0.0,11659.970000000001,2023-12-24,Online,Mumbai,3314.720554030132,M,1
2085,Men,Basketball,Kyrie Flytrap,2,7561.85,0.0,15123.7,2024-12-17,Retail,Kolkata,3366.386017049759,L,2
2086,Men,Soccer,Mercurial Superfly,2,6969.28,0.45,7666.2080000000005,2024-10-11,Online,Kolkata,1369.6028968250375,L,2
2087,Kids,Basketball,Zoom Freak,2,4656.28,0.0,9312.56,2024-11-01,Online,Kolkata,1845.0046297074473,L,2
2088,Women,Running,Free RN,4,6299.575,0.0,25198.3,2025-04-26,Online,Bangalore,7541.176550094035,XL,3
2089,Women,Training,Flex Trainer,2,6874.77,0.6,5499.816000000001,2024-02-12,Online,Mumbai,1669.2744241986145,L,2
2094,Kids,Training,Flex Trainer,1,4276.36,0.0,4276.36,2024-10-11,Retail,Delhi,1363.858478931712,L,2
2095,Men,Lifestyle,Waffle One,2,5610.219999999999,0.0,11220.439999999999,2024-10-16,Online,Delhi,3168.2698379496346,M,1
2096,Men,Running,Pegasus Turbo,2,5349.1,0.0,10698.2,2024-12-24,Online,Kolkata,2352.485074207301,XL,3
2098,Men,Training,ZoomX Invincible,2,5690.69,0.69,3528.2278000000006,2024-01-24,Online,Hyderabad,625.3362813215715,L,2
2099,Kids,Soccer,Mercurial Superfly,2,6969.28,0.32,9478.2208,2025-01-02,Retail,Mumbai,2108.1270676884915,M,1
2100,Kids,Soccer,Phantom GT,1,5937.52,0.0,5937.52,2025-07-11,Retail,Mumbai,1079.906033421317,M,1
2101,Kids,Running,Free RN,2,2010.07,0.0,4020.14,2025-07-03,Online,Hyderabad,1395.5343476689302,XL,3
2102,Women,Soccer,Mercurial Superfly,2,6969.28,0.77,3205.8687999999997,2025-10-04,Online,Pune,556.6757866561856,XL,3
2103,Women,Basketball,LeBron 20,2,6777.88,0.0,13555.76,2025-01-08,Online,Kolkata,3065.144493506246,XL,3
2105,Kids,Training,Metcon 7,2,5744.7,0.0,11489.4,2024-11-17,Retail,Mumbai,3534.8390451594655,L,2
2107,Women,Running,React Infinity,4,6346.35,0.0,25385.4,2024-08-30,Online,Hyderabad,4322.336321781162,M,1
2108,Kids,Lifestyle,Air Force 1,2,6656.01,0.27,9717.7746,2024-11-15,Retail,Mumbai,2960.357949651845,XL,3
2109,Kids,Basketball,Zoom Freak,2,6172.36,0.0,12344.72,2025-01-29,Retail,Kolkata,2801.4043975457653,M,1
2110,Kids,Running,Air Zoom,1,5548.255,0.42,3217.9879000000005,2024-12-25,Retail,Pune,932.9136032728023,XL,3
2111,Men,Lifestyle,Waffle One,2,5610.219999999999,1.0,0.0,2024-11-21,Retail,Bangalore,0.0,L,2
2113,Women,Basketball,Air Jordan,2,3939.34,0.0,7878.68,2023-12-19,Retail,Pune,1439.5225891258938,XL,3
2116,Women,Basketball,LeBron 20,2,4038.32,1.0,0.0,2024-08-27,Online,Hyderabad,0.0,L,2
2117,Women,Training,SuperRep Go,2,7645.96,0.0,15291.92,2024-10-30,Online,Pune,3413.6052370635234,L,2
2118,Kids,Basketball,Zoom Freak,2,8426.54,0.0,16853.08,2023-09-21,Online,Hyderabad,5550.339680239933,XL,3
2119,Women,Training,Metcon 7,2,5829.985000000001,0.41,6879.382300000002,2025-05-04,Retail,Kolkata,1872.3701158415408,L,2
2120,Men,Soccer,Phantom GT,2,6012.23,0.0,12024.46,2024-12-14,Retail,Pune,3434.488419477983,XL,3
2000,Kids,Running,React Infinity,2,6346.35,0.0,12692.7,2023-11-20,Retail,Kolkata,4121.676263025141,M,1
2123,Men,Running,Air Zoom,2,5548.255,0.0,11096.51,2024-09-15,Retail,Hyderabad,3513.0520105239434,L,2
2124,Kids,Basketball,Kyrie Flytrap,2,6436.11,1.0,0.0,2025-04-07,Online,Kolkata,0.0,L,2
2125,Women,Soccer,Tiempo Legend,2,6041.3,0.0,12082.6,2024-10-12,Retail,Hyderabad,3700.716540798376,M,1
2126,Kids,Running,Pegasus Turbo,2,5399.58,0.0,10799.16,2024-12-14,Retail,Pune,1962.2529050817134,L,2
2127,Men,Training,Metcon 7,2,4020.5,0.0,8041.0,2023-08-19,Online,Mumbai,2087.8214712067247,L,2
2130,Men,Soccer,Premier III,3,6082.075,0.24,13867.131,2024-09-14,Online,Bangalore,3947.5142782408816,L,2
2133,Men,Training,Metcon 7,2,6789.53,0.0,13579.06,2024-10-10,Retail,Pune,3650.572879393945,XL,3
2134,Men,Training,ZoomX Invincible,2,4738.62,0.0,9477.24,2024-06-08,Online,Hyderabad,3054.5867923096052,M,1
2135,Men,Basketball,Zoom Freak,2,9106.61,0.74,4735.4372,2024-11-03,Retail,Hyderabad,1335.9684139147685,L,2
2136,Kids,Training,ZoomX Invincible,1,6424.68,0.0,6424.68,2024-09-15,Online,Pune,2009.0966142644493,L,2
2137,Men,Soccer,Phantom GT,2,5222.02,0.95,522.2020000000005,2025-01-12,Online,Delhi,90.36303958518705,L,2
2138,Men,Running,Pegasus Turbo,2,8055.2,0.0,16110.4,2025-06-14,Online,Mumbai,3454.851556421742,L,2
2139,Women,Basketball,Air Jordan,2,5967.92,0.0,11935.84,2025-06-19,Retail,Mumbai,3833.8138302711754,M,1
2140,Men,Basketball,Zoom Freak,2,6765.74,0.0,13531.48,2025-04-28,Online,Bangalore,3640.6067631929313,M,1
2141,Kids,Soccer,Tiempo Legend,2,6041.3,1.0,0.0,2023-11-22,Retail,Kolkata,0.0,L,2
2142,Kids,Soccer,Mercurial Superfly,2,6969.28,0.0,13938.56,2024-10-03,Retail,Kolkata,3044.754267001471,L,2
2143,Kids,Training,ZoomX Invincible,2,6424.68,0.0,12849.36,2025-03-10,Online,Delhi,4017.4889524014125,L,2
2144,Women,Lifestyle,Waffle One,4,5610.219999999999,0.0,22440.879999999997,2025-03-30,Online,Kolkata,4826.055958142505,L,2
2145,Men,Lifestyle,Blazer Mid,2,6100.23,0.67,4026.151799999999,2024-07-30,Online,Bangalore,729.0387967411957,S,0
2146,Kids,Basketball,Air Jordan,2,5967.92,1.0,0.0,2025-02-15,Retail,Mumbai,0.0,XL,3
2147,Women,Soccer,Phantom GT,2,6012.23,0.0,12024.46,2024-09-14,Online,Hyderabad,2184.475099904343,XL,3
2148,Men,Basketball,Kyrie Flytrap,2,5562.46,0.0,11124.92,2025-06-19,Online,Hyderabad,2458.8271153971327,L,2
2149,Women,Running,Pegasus Turbo,2,5349.1,0.0,10698.2,2025-05-20,Online,Kolkata,1976.231112493049,L,2
2150,Women,Basketball,LeBron 20,2,3313.21,0.48,3445.7384,2025-06-07,Online,Bangalore,793.6878191759146,M,1
