Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,Transaction_Type,Profit_Flag
2000,Kids,Training,SuperRep Go,M,1,5587.585,0.47,2961.42,2024-03-09,Online,Bangalore,-770.45,Sale,Valid
2001,Women,Soccer,Tiempo Legend,M,3,4957.93,0.0,14873.79,2024-07-09,Retail,Hyderabad,-112.53,Sale,Valid
2003,Kids,Lifestyle,Blazer Mid,L,2,9673.57,0.0,19347.14,2024-04-10,Online,Pune,3376.85,Sale,Valid
2004,Kids,Running,React Infinity,XL,1,6346.35,0.0,6346.35,2024-09-12,Retail,Delhi,187.89,Sale,Valid
2006,Men,Training,SuperRep Go,M,1,6819.78,0.0,6819.78,2025-04-06,Online,Bangalore,1802.09,Sale,Valid
2008,Women,Soccer,Premier III,11,1,6060.035,0.0,6060.04,2024-11-10,Online,Hyderabad,-731.18,Return,Valid
2010,Kids,Lifestyle,Waffle One,L,1,7949.83,0.0,7949.83,2025-01-16,Online,Pune,1965.56,Sale,Valid
2018,Kids,Lifestyle,Blazer Mid,,1,5786.02,0.86,810.04,2024-11-13,Online,Delhi,2109.48,Return,Review
2013,Kids,Training,SuperRep Go,,1,9671.05,0.0,9671.05,2024-09-19,Online,Hyderabad,299.34,Sale,Valid
2014,Women,Running,React Infinity,11,1,6346.35,0.0,6346.35,2025-04-12,Online,Bangalore,-1044.4,Sale,Valid
2015,Kids,Basketball,Air Jordan,,2,3285.52,0.0,6571.04,2025-05-31,Retail,Kolkata,1193.21,Sale,Valid
2017,Women,Basketball,Air Jordan,9,4,5974.92,0.0,23899.68,2025-03-17,Retail,Delhi,1946.24,Sale,Valid
2020,Kids,Soccer,Tiempo Legend,L,1,5830.525,0.67,1924.07,2025-03-28,Retail,Mumbai,439.96,Return,Valid
2021,Men,Running,Free RN,L,1,7086.7,0.66,2409.48,2024-11-19,Retail,Hyderabad,-1120.49,Return,Valid
2022,Women,Soccer,Premier III,M,2,6060.035,0.0,12120.07,2024-09-24,Online,Pune,3427.16,Sale,Valid
2023,Men,Lifestyle,Waffle One,M,2,5003.95,0.0,10007.9,2025-10-01,Online,Mumbai,1498.37,Sale,Valid
2026,Kids,Lifestyle,Blazer Mid,XL,1,5786.02,0.16,4860.26,2024-08-10,Retail,Kolkata,2301.64,Sale,Valid
2030,Men,Soccer,Phantom GT,XL,2,6012.23,1.0,0.0,2025-07-14,Retail,Hyderabad,-122.93,Sale,Valid
